"assembled_transcript","Pru_locus"
"TR1169-c0_g1_i1","Pc12g04350"
"TR10103-c0_g1_i1","Pc12g04370"
"TR9138-c0_g1_i1","Pc12g04390"
"TR616-c0_g1_i1","Pc12g04430"
"TR4522-c0_g1_i1","Pc12g04430"
"TR10863-c0_g1_i1","Pc12g04440"
"TR10851-c0_g1_i1","Pc12g04460"
"TR5186-c0_g1_i1","Pc12g04470"
"TR767-c0_g1_i1","Pc12g04480"
"TR3366-c0_g1_i1","Pc12g04490"
"TR14431-c0_g1_i1","Pc12g04490"
"TR13859-c0_g1_i1","Pc12g04500"
"TR13860-c0_g1_i1","Pc12g04500"
"TR5227-c0_g1_i1","Pc12g04520"
"TR14108-c0_g1_i1","Pc12g04530"
"TR5235-c0_g1_i1","Pc12g04550"
"TR3101-c0_g1_i1","Pc12g04560"
"TR6054-c0_g1_i1","Pc12g04590"
"TR11973-c0_g1_i1","Pc12g04610"
"TR5198-c0_g1_i1","Pc12g04630"
"TR4089-c0_g1_i1","Pc12g04650"
"TR932-c0_g1_i1","Pc12g04670"
"TR11735-c0_g1_i1","Pc12g04680"
"TR10961-c0_g1_i1","Pc12g04690"
"TR107-c0_g1_i1","Pc12g04730"
"TR5024-c0_g1_i1","Pc12g04750"
"TR10736-c0_g1_i1","Pc12g04760"
"TR7165-c0_g1_i1","Pc12g04770"
"TR474-c0_g1_i1","Pc12g04770"
"TR6885-c0_g1_i1","Pc12g04780"
"TR14901-c0_g1_i1","Pc12g05080"
"TR6277-c0_g1_i1","Pc12g05100"
"TR6277-c0_g2_i1","Pc12g05100"
"TR11200-c0_g1_i1","Pc12g05120"
"TR289-c0_g1_i1","Pc12g05120"
"TR289-c0_g2_i1","Pc12g05120"
"TR3999-c2_g1_i1","Pc12g05130"
"TR3999-c0_g1_i1","Pc12g05130"
"TR2670-c0_g1_i1","Pc12g05170"
"TR4956-c0_g1_i1","Pc12g05170"
"TR9881-c0_g1_i1","Pc12g05170"
"TR3056-c0_g1_i1","Pc12g05170"
"TR723-c0_g1_i1","Pc12g05170"
"TR13267-c0_g1_i1","Pc12g05180"
"TR5089-c0_g1_i1","Pc12g05190"
"TR12674-c0_g1_i1","Pc12g05200"
"TR7289-c0_g1_i1","Pc12g05230"
"TR15176-c1_g1_i1","Pc12g05240"
"TR14636-c0_g1_i1","Pc12g05240"
"TR1-c0_g1_i1","Pc12g05250"
"TR7476-c0_g1_i1","Pc12g05300"
"TR13905-c0_g1_i1","Pc12g05310"
"TR9120-c0_g1_i1","Pc12g05310"
"TR14757-c0_g1_i1","Pc12g05320"
"TR1253-c0_g1_i1","Pc12g05360"
"TR2593-c0_g1_i1","Pc12g05370"
"TR10376-c0_g1_i1","Pc12g05380"
"TR5766-c0_g1_i1","Pc12g05390"
"TR7129-c0_g1_i1","Pc12g05400"
"TR10059-c0_g1_i1","Pc12g05410"
"TR3900-c0_g1_i1","Pc12g05420"
"TR3649-c0_g1_i1","Pc12g05420"
"TR278-c0_g1_i1","Pc12g05480"
"TR7256-c0_g1_i1","Pc12g05490"
"TR6207-c0_g1_i1","Pc12g05520"
"TR4386-c0_g1_i1","Pc12g05520"
"TR1158-c0_g1_i1","Pc12g05530"
"TR12677-c0_g1_i1","Pc12g05530"
"TR15015-c0_g1_i1","Pc12g05530"
"TR7134-c0_g1_i1","Pc12g05530"
"TR4884-c0_g1_i1","Pc12g05640"
"TR10792-c0_g1_i1","Pc12g05640"
"TR4884-c1_g1_i1","Pc12g05640"
"TR10044-c0_g1_i1","Pc12g05660"
"TR3749-c0_g1_i1","Pc12g05720"
"TR4142-c0_g1_i1","Pc12g05730"
"TR2614-c0_g1_i1","Pc12g05740"
"TR10779-c0_g1_i1","Pc12g05750"
"TR508-c0_g1_i1","Pc12g05750"
"TR6345-c0_g1_i1","Pc12g05760"
"TR7055-c0_g1_i1","Pc12g05820"
"TR9752-c0_g1_i1","Pc12g05830"
"TR1567-c0_g1_i1","Pc12g05850"
"TR12943-c0_g1_i1","Pc12g05880"
"TR11278-c0_g1_i1","Pc12g05900"
"TR15025-c0_g1_i1","Pc12g05900"
"TR7787-c0_g1_i1","Pc12g05900"
"TR14824-c0_g1_i1","Pc12g05910"
"TR2295-c1_g1_i1","Pc12g05930"
"TR2295-c0_g1_i1","Pc12g05930"
"TR780-c0_g1_i1","Pc12g05940"
"TR11576-c0_g1_i1","Pc12g05950"
"TR9373-c0_g1_i1","Pc12g05960"
"TR3405-c0_g1_i1","Pc12g05970"
"TR5609-c0_g1_i1","Pc12g05980"
"TR3258-c0_g1_i1","Pc12g05990"
"TR4876-c0_g1_i1","Pc12g06000"
"TR9653-c0_g1_i1","Pc12g06080"
"TR11209-c0_g1_i1","Pc12g06110"
"TR10826-c0_g1_i1","Pc12g06160"
"TR15122-c0_g1_i1","Pc12g06160"
"TR8898-c0_g1_i1","Pc12g06160"
"TR3251-c0_g2_i1","Pc12g06170"
"TR3251-c0_g1_i1","Pc12g06170"
"TR5480-c0_g1_i1","Pc12g06180"
"TR3777-c0_g1_i1","Pc12g06250"
"TR3676-c0_g1_i1","Pc12g06280"
"TR15161-c0_g1_i1","Pc12g06340"
"TR4960-c0_g1_i1","Pc12g06340"
"TR7706-c0_g1_i1","Pc12g06340"
"TR11630-c0_g1_i1","Pc12g06340"
"TR8400-c0_g1_i1","Pc12g06350"
"TR7369-c0_g1_i1","Pc12g06350"
"TR10575-c0_g1_i1","Pc12g06350"
"TR10575-c1_g1_i1","Pc12g06380"
"TR6686-c0_g1_i1","Pc12g06400"
"TR9805-c0_g1_i1","Pc12g06500"
"TR2995-c0_g1_i1","Pc12g06500"
"TR12295-c0_g1_i1","Pc12g06500"
"TR13712-c0_g1_i1","Pc12g06620"
"TR5019-c0_g1_i1","Pc12g06640"
"TR824-c0_g1_i1","Pc12g06650"
"TR3627-c0_g1_i1","Pc12g06680"
"TR3688-c0_g1_i1","Pc12g06690"
"TR3759-c0_g1_i1","Pc12g06700"
"TR10594-c0_g1_i1","Pc12g06700"
"TR6704-c0_g1_i1","Pc12g06700"
"TR14670-c0_g1_i1","Pc12g06750"
"TR14378-c0_g1_i1","Pc12g06760"
"TR5810-c0_g2_i1","Pc12g06760"
"TR5810-c0_g1_i1","Pc12g06760"
"TR4961-c0_g1_i1","Pc12g06770"
"TR13238-c0_g1_i1","Pc12g06780"
"TR11603-c1_g1_i1","Pc12g06840"
"TR11603-c0_g1_i1","Pc12g06840"
"TR1982-c0_g1_i1","Pc12g06860"
"TR8151-c0_g1_i1","Pc12g06870"
"TR13868-c0_g1_i1","Pc12g06970"
"TR4046-c0_g1_i1","Pc12g07030"
"TR3201-c0_g1_i1","Pc12g07060"
"TR13927-c0_g1_i1","Pc12g07060"
"TR7522-c0_g1_i1","Pc12g07060"
"TR4347-c0_g1_i1","Pc12g07080"
"TR1032-c0_g1_i1","Pc12g07090"
"TR5531-c0_g1_i1","Pc12g07090"
"TR15114-c1_g1_i1","Pc12g07100"
"TR15114-c0_g1_i1","Pc12g07100"
"TR158-c1_g1_i1","Pc12g07170"
"TR158-c0_g1_i1","Pc12g07170"
"TR9480-c0_g1_i1","Pc12g07170"
"TR89-c0_g1_i1","Pc12g07180"
"TR14722-c0_g1_i1","Pc12g07250"
"TR9502-c1_g1_i1","Pc12g07280"
"TR5219-c0_g1_i1","Pc12g07310"
"TR6693-c0_g1_i1","Pc12g07330"
"TR13476-c0_g1_i1","Pc12g07420"
"TR6953-c0_g1_i1","Pc12g07430"
"TR12444-c0_g1_i1","Pc12g07430"
"TR4164-c0_g1_i1","Pc12g07430"
"TR9581-c0_g1_i1","Pc12g07440"
"TR14678-c0_g1_i1","Pc12g07450"
"TR14856-c0_g1_i1","Pc12g07460"
"TR4009-c0_g1_i1","Pc12g07500"
"TR377-c0_g1_i1","Pc12g07500"
"TR11813-c0_g1_i1","Pc12g07500"
"TR2370-c0_g1_i1","Pc12g07500"
"TR870-c0_g1_i1","Pc12g07500"
"TR13731-c0_g1_i1","Pc12g07530"
"TR10839-c0_g1_i1","Pc12g07570"
"TR4356-c0_g1_i1","Pc12g07580"
"TR763-c0_g1_i1","Pc12g07590"
"TR8930-c0_g1_i1","Pc12g07600"
"TR10297-c0_g1_i1","Pc12g07600"
"TR7078-c0_g1_i1","Pc12g07610"
"TR766-c0_g1_i1","Pc12g07620"
"TR10878-c0_g1_i1","Pc12g07760"
"TR2821-c1_g1_i1","Pc12g07760"
"TR2821-c0_g1_i1","Pc12g07760"
"TR12546-c0_g1_i1","Pc12g07760"
"TR10878-c1_g1_i1","Pc12g07760"
"TR9357-c0_g1_i1","Pc12g07820"
"TR1722-c0_g1_i1","Pc12g07850"
"TR8973-c0_g1_i1","Pc12g07850"
"TR7978-c0_g1_i1","Pc12g07860"
"TR12134-c0_g1_i1","Pc12g07860"
"TR8554-c0_g1_i1","Pc12g07860"
"TR12897-c0_g1_i1","Pc12g07860"
"TR11049-c0_g1_i1","Pc12g07940"
"TR14395-c0_g1_i1","Pc12g07940"
"TR1182-c0_g1_i1","Pc12g07940"
"TR5945-c0_g1_i1","Pc12g07960"
"TR15073-c1_g1_i1","Pc12g07960"
"TR12459-c0_g1_i1","Pc12g07960"
"TR4102-c0_g1_i1","Pc12g08000"
"TR804-c0_g1_i1","Pc12g08000"
"TR237-c0_g1_i1","Pc12g08000"
"TR4763-c0_g1_i1","Pc12g08030"
"TR3125-c0_g1_i1","Pc12g08040"
"TR344-c0_g1_i1","Pc12g08060"
"TR7296-c0_g1_i1","Pc12g08080"
"TR3294-c0_g1_i1","Pc12g08080"
"TR2406-c0_g1_i1","Pc12g08080"
"TR13901-c0_g1_i1","Pc12g08100"
"TR7232-c0_g1_i1","Pc12g08160"
"TR12780-c0_g1_i1","Pc12g08170"
"TR311-c0_g1_i1","Pc12g08170"
"TR12047-c0_g1_i1","Pc12g08170"
"TR3225-c0_g1_i1","Pc12g08190"
"TR3225-c0_g2_i1","Pc12g08190"
"TR15232-c0_g1_i1","Pc12g08210"
"TR10752-c0_g1_i1","Pc12g08230"
"TR527-c0_g1_i1","Pc12g08300"
"TR4178-c0_g1_i1","Pc12g08300"
"TR7157-c0_g1_i1","Pc12g08300"
"TR9794-c0_g1_i1","Pc12g08300"
"TR5981-c0_g1_i1","Pc12g08400"
"TR13264-c0_g1_i1","Pc12g08410"
"TR4408-c0_g1_i1","Pc12g08420"
"TR8557-c0_g1_i1","Pc12g08420"
"TR2644-c1_g1_i1","Pc12g08440"
"TR9732-c0_g1_i1","Pc12g08440"
"TR7944-c0_g1_i1","Pc12g08450"
"TR3919-c0_g1_i1","Pc12g08500"
"TR822-c0_g1_i1","Pc12g08580"
"TR6751-c0_g1_i1","Pc12g08590"
"TR339-c0_g1_i1","Pc12g08600"
"TR14631-c0_g1_i1","Pc12g08650"
"TR9014-c0_g1_i1","Pc12g08650"
"TR15085-c0_g1_i1","Pc12g08650"
"TR2613-c1_g1_i1","Pc12g08650"
"TR11743-c0_g1_i1","Pc12g08650"
"TR13065-c0_g1_i1","Pc12g08660"
"TR1148-c0_g1_i1","Pc12g08680"
"TR8380-c0_g1_i1","Pc12g08700"
"TR2641-c0_g1_i1","Pc12g08700"
"TR6608-c0_g1_i1","Pc12g08770"
"TR1918-c0_g1_i1","Pc12g08770"
"TR14101-c0_g1_i1","Pc12g08790"
"TR9674-c0_g1_i1","Pc12g08810"
"TR11775-c0_g1_i1","Pc12g08820"
"TR7874-c0_g1_i1","Pc12g08830"
"TR642-c1_g1_i1","Pc12g08870"
"TR10102-c0_g1_i1","Pc12g08900"
"TR11151-c0_g1_i1","Pc12g08930"
"TR5815-c0_g1_i1","Pc12g08950"
"TR14528-c0_g1_i1","Pc12g08960"
"TR3481-c0_g1_i1","Pc12g08960"
"TR4379-c0_g1_i1","Pc12g08960"
"TR557-c0_g1_i1","Pc12g08960"
"TR30-c1_g1_i1","Pc12g08960"
"TR8395-c0_g1_i1","Pc12g08960"
"TR8450-c0_g1_i1","Pc12g08960"
"TR30-c0_g1_i1","Pc12g08960"
"TR13922-c0_g1_i1","Pc12g08960"
"TR13886-c0_g1_i1","Pc12g08980"
"TR4891-c0_g1_i1","Pc12g08980"
"TR13317-c0_g1_i1","Pc12g08980"
"TR4922-c0_g1_i1","Pc12g08980"
"TR14941-c0_g1_i1","Pc12g08980"
"TR2341-c0_g1_i1","Pc12g08980"
"TR5496-c0_g1_i1","Pc12g08980"
"TR10556-c0_g1_i1","Pc12g08980"
"TR5461-c0_g1_i1","Pc12g08980"
"TR504-c0_g1_i1","Pc12g08980"
"TR7952-c0_g1_i1","Pc12g08980"
"TR3574-c0_g1_i1","Pc12g08980"
"TR3348-c0_g1_i1","Pc12g08980"
"TR888-c0_g1_i1","Pc12g08980"
"TR13300-c0_g1_i1","Pc12g08980"
"TR10361-c0_g1_i1","Pc12g08980"
"TR1654-c0_g1_i1","Pc12g08980"
"TR14002-c1_g1_i1","Pc12g08980"
"TR1975-c0_g1_i1","Pc12g08980"
"TR3432-c0_g1_i1","Pc12g08980"
"TR13488-c0_g1_i1","Pc12g08980"
"TR5094-c1_g1_i1","Pc12g09000"
"TR5094-c0_g1_i1","Pc12g09000"
"TR459-c0_g1_i1","Pc12g09130"
"TR8705-c0_g1_i1","Pc12g09170"
"TR12484-c0_g1_i1","Pc12g09230"
"TR625-c0_g1_i1","Pc12g09230"
"TR9133-c0_g1_i1","Pc12g09250"
"TR9221-c0_g1_i1","Pc12g09270"
"TR3372-c0_g1_i1","Pc12g09280"
"TR13232-c0_g1_i1","Pc12g09290"
"TR11267-c0_g1_i1","Pc12g09320"
"TR4036-c0_g1_i1","Pc12g09360"
"TR1236-c0_g1_i1","Pc12g09400"
"TR10038-c0_g1_i1","Pc12g09410"
"TR10737-c0_g1_i1","Pc12g09430"
"TR11943-c0_g1_i1","Pc12g09440"
"TR5310-c0_g1_i1","Pc12g09500"
"TR2434-c0_g1_i1","Pc12g09520"
"TR15129-c0_g1_i1","Pc12g09580"
"TR2389-c0_g1_i1","Pc12g09590"
"TR598-c0_g1_i1","Pc12g09630"
"TR8753-c0_g1_i1","Pc12g09650"
"TR5707-c0_g1_i1","Pc12g09650"
"TR8166-c0_g1_i1","Pc12g09660"
"TR9797-c0_g1_i1","Pc12g09670"
"TR10987-c0_g1_i1","Pc12g09700"
"TR11338-c0_g1_i1","Pc12g09740"
"TR14365-c1_g1_i1","Pc12g09760"
"TR7184-c0_g1_i1","Pc12g09820"
"TR13725-c0_g1_i1","Pc12g09850"
"TR4989-c0_g1_i1","Pc12g09860"
"TR4254-c0_g1_i1","Pc12g09870"
"TR1543-c0_g1_i1","Pc12g09880"
"TR5967-c0_g1_i1","Pc12g09880"
"TR5027-c0_g1_i1","Pc12g09950"
"TR6983-c0_g1_i1","Pc12g09950"
"TR1225-c0_g1_i1","Pc12g09950"
"TR14504-c0_g1_i1","Pc12g09950"
"TR13491-c0_g1_i1","Pc12g09950"
"TR9039-c0_g1_i1","Pc12g09950"
"TR35-c0_g1_i1","Pc12g09950"
"TR9444-c0_g1_i1","Pc12g09950"
"TR13821-c0_g1_i1","Pc12g09980"
"TR8407-c0_g1_i1","Pc12g10180"
"TR14326-c0_g1_i1","Pc12g10220"
"TR7367-c0_g1_i1","Pc12g10220"
"TR8849-c0_g1_i1","Pc12g10230"
"TR3677-c0_g1_i1","Pc12g10230"
"TR2378-c0_g1_i1","Pc12g10270"
"TR1301-c0_g1_i1","Pc12g10310"
"TR8677-c0_g1_i1","Pc12g10310"
"TR10843-c0_g1_i1","Pc12g10330"
"TR6683-c1_g1_i1","Pc12g10330"
